page_title	class	page_len	rev_id	prediction	weighted_sum
Elen_Levon	Start	7777	695490779	C	1.846886644492801
Esmée_Denters	Start	13151	713033953	C	2.1557766372398603
Field_Mob	Start	14014	699441911	C	2.7025857935596047
Fiona_Sit	Start	22233	707594716	C	2.2214941563225845
Gordy_family	Start	16111	711064734	B	2.408804274068215
Great_White	Start	32302	718532069	C	2.578604191036585
Greg_Leisz	Start	17704	714661708	B	2.2866563046914847
Guo_Shan	Start	3986	683444518	Start	1.1524131098416617
Have_Nots	Start	3328	667939870	Start	1.3566481423506882
Hedley_Jones	Start	8180	646892025	C	2.1866100776721282
Helena_Sá_e_Costa	Start	4591	717584118	Start	1.1794719756324397
Houshang_Ostovar	Start	3355	719359791	Start	1.2188489411795496
Howard_Klug	Start	2173	710600511	Stub	0.5514605981545324
Ian_Tanner	Start	7183	716537315	Start	1.5647182563579658
Ilan_Volkov	Start	7355	699343105	Start	1.7284246150718399
Into_Eternity_(band)	Start	13435	715766172	C	2.1418008198398795
J._P._Chandrababu	Start	17942	717411791	C	2.173654967086317
Jack_Purvis	Start	10880	709143493	C	2.5540289235272065
Jair-Rôhm_Parker_Wells	Start	6230	703441958	Start	1.3497171578981448
Jim_Keltner	Start	15885	716452823	C	2.5894360168091026
Jimmie_Rodgers_(pop_singer)	Start	26783	703493495	C	2.4740326800920602
Jimmy_Witherspoon	Start	13184	706529305	C	2.344550725237414
Johann_Theile	Start	3224	709586917	Start	1.0416706628922714
Józef_Wieniawski	Start	7131	712538792	C	2.1345655768608522
Kalahari_Surfers	Start	25	537601727	Stub	0.63482294024439
Karnivool	Start	32451	718356812	C	2.65302547117309
Kazumi_Watanabe	Start	5352	702628777	Start	1.38609113093076
Kim_Hyun-joong	Start	57765	719229996	FA	4.302112760864091
Kingspade	Start	5203	670079395	Start	1.3306349555900674
Kiril_Marichkov	Start	5156	704608469	Start	1.3853956970866772
Klaus_Doldinger	Start	4860	705055840	Start	1.4535865537706845
Kyrylo_Stetsenko	Start	10652	713573570	C	2.1576151014510887
Lasse_Thoresen	Start	4247	718000146	Start	1.4386328028193964
Latif_(singer-songwriter)	Start	11581	706022323	C	2.1048166839478033
Leeland_Dayton_Mooring	Start	5119	710603948	Start	1.4382111113058822
Leæther_Strip	Start	13497	713279025	C	2.292057444407033
Lindsay_String_Quartet	Start	7851	709147104	Start	1.560239533449668
Loren_Israel	Start	7339	708694718	C	2.3933922047380967
Los_Freddy's	Start	7357	718491055	C	1.8884844896857347
MFSB	Start	16941	709800605	C	2.8899872019646717
Maria_Alyokhina	Start	9861	714284088	C	2.504904530457855
Marit_Larsen	Start	24579	717947383	B	2.656982828354552
Martha_Tilston	Start	6566	713659946	Start	1.6011071449681236
Matt_Edwards	Start	8924	711286166	Start	1.5612978846193257
Mini_Viva	Start	8764	685756479	C	2.5819819833654054
Missy_Mazzoli	Start	11629	703967743	C	2.248131311186694
Natalia_Gordienco	Start	4982	711787055	Start	1.6152797679152613
Nathan_Moore_(U.S._musician)	Start	7443	713982519	C	2.041925728446693
Oregon_Symphony	Start	15326	719318104	C	2.3817627652370943
Philip_Brigham	Start	8972	709772900	C	1.9075254810588484
Pietro_Locatelli	Start	14464	703085405	B	3.2175199798089666
Radha_Thomas	Start	13337	713539078	C	2.287689484422925
Rob_Chapman_(musician)	Start	5419	712889302	Start	1.470997528104129
Samavayo	Start	3693	618239146	Start	1.3343031524928821
Sarah_Bettens	Start	6496	714243101	Start	1.591855606925342
Sean_Reinert	Start	5143	713827360	Start	1.22263381506317
Shakatak	Start	13733	717135456	C	2.7705621203062294
Shawn_Holt_&_the_Teardrops	Start	6362	715476238	C	2.141298493921729
Sibel_Redžep	Start	8482	712209458	Start	1.6747246222552294
Signe_Hebbe	Start	3226	714154493	Start	1.091664125679614
Soul-Junk	Start	11658	704447415	C	2.6414724024790286
Spanky_and_Our_Gang	Start	11829	708568326	C	2.867060937198393
Terell_Stafford	Start	4493	706877487	Start	1.158635456439139
Tharanga_Goonetilleke	Start	8232	705145732	C	2.338051185703059
The_Heartaches	Start	5043	676380703	Start	1.2785947727112998
The_Hoosiers	Start	11775	711852668	C	2.4094906225988066
The_Mexican_Spitfires	Start	7644	715929372	C	1.9043725313120419
Tim_Yatras	Start	5702	716319410	Start	1.412352631972587
Toe_Fat	Start	5909	665960667	Start	1.5074299581558646
Tomier_and_Palaizi	Start	2864	695938866	Start	1.0290788849341994
Troy_Donockley	Start	11231	704490469	C	2.113715676659231
Willie_Hutch	Start	7090	714081392	C	1.986538267033593
Wingy_Manone	Start	6067	715505363	Start	1.6353731226504984
Yuu_Shirota	Start	24	361562161	Stub	0.6341753120105549
1927_(band)	C	24256	711396922	GA	3.598324990066975
Al_Hurricane	C	27643	714860049	GA	3.3316211117048313
Alan_Kogosowski	C	7984	715359389	C	1.9447155519821064
Allen_Toussaint	C	37767	715837098	GA	4.247001570852503
Andy_White_(drummer)	C	14715	695277551	GA	3.3521998262405432
Animal_Collective	C	55122	719340610	B	3.310246342039661
Annie_Lennox	C	65849	717097797	GA	4.336862635730982
Ashford_&_Simpson	C	35095	718353442	GA	3.323173647314266
Asmahan	C	22436	717621182	B	3.0267287603799473
B.U.G._Mafia	C	28369	713580494	B	2.8306098508192896
Bashy	C	15060	717495532	C	2.269981704212995
Björn_Again	C	7926	702353367	C	2.748355685359508
Bobby_Beausoleil	C	14097	718403481	C	2.307383189338783
Carter_Albrecht	C	7996	712472322	C	2.007463087553276
Celine_Dion	C	151040	718252135	B	3.4069840126558946
Chara_(singer)	C	22124	712515053	C	2.618181278560316
Cornélie_Falcon	C	27589	703690376	FA	4.29337980632241
Curtis_Mayfield	C	32351	715154161	C	2.9414042487351697
Daisy_Dares_You	C	12345	716157279	C	2.090315644017021
Daniel_Cavanagh	C	11412	709816781	C	2.0129076374384756
Daniil_Shafran	C	18643	702955993	B	2.995770593317679
Danzig_(band)	C	16961	709064125	C	2.8550983655166844
Dave_Brubeck	C	52164	717510237	B	3.1318562213697305
David_Singleton	C	25340	702649151	C	2.627771068100806
Deadstar	C	22097	692815513	GA	3.624036461232987
Declan_McKenna	C	14588	718912158	GA	3.041104855937484
Deicide_(band)	C	22998	713895711	C	2.3609304022066633
Demoncy	C	7298	703504942	Start	1.6202318730614789
Dino_Cazares	C	11279	719454969	C	2.0420308225316983
Dreezy	C	8175	719149274	C	2.123306850229853
Edmond_Audran	C	11942	718990570	GA	3.168435514824492
Emerson_Drive	C	22533	717440994	C	2.7381541131738723
Film_career_of_Frank_Sinatra	C	41111	718046207	C	2.9823430131969944
Frank_Arsenault	C	15012	666035303	C	2.7689703711865015
George_Vern_Barnett	C	8345	717688464	C	2.104998941617726
Giles_Martin	C	6069	718959015	Start	1.557969119922846
Grizzly_Bear_(band)	C	20972	718903291	GA	3.5562266379506284
Hank_Garland	C	8784	708706724	C	1.8745763562543574
Hitomi_Takahashi_(singer)	C	13457	716167026	C	2.5432887947630123
Isaiah_Rashad	C	21757	719298274	GA	3.772898671286425
J._M._Gordon	C	6966	708252751	C	2.174351024608556
Jane's_Addiction	C	47805	714938703	GA	4.033910316530914
Jani_Lane	C	25012	719390981	C	2.7502719753514295
Jerk_(band)	C	7523	698623221	C	2.292351459468828
Jessica_Sutta	C	23365	714638617	C	2.4857532796175477
Jon_Bon_Jovi	C	33440	719055261	C	2.5503599464654783
Jorge_Negrete	C	11873	718943092	C	2.1374598999279306
Josh_Homme	C	66009	718229376	FA	4.441003274683181
Julia_Stone	C	16463	698987081	GA	3.70493301282424
Julius_La_Rosa	C	14915	718388664	C	2.242847305701755
Justice_Crew	C	34397	717184580	GA	4.008376798984867
Kaskade	C	18061	718998697	C	2.94836334583383
Keith_Scott_(musician)	C	5723	714561961	Start	1.7199526991495697
Kelly_Osbourne	C	37615	717003731	B	2.7745916675393367
Kjersti_Stubø	C	6217	705129431	Start	1.5764608056698777
Kuk_Harrell	C	42287	717796598	FA	3.9366445656484172
L.Stadt	C	13754	696039078	GA	3.018488709646185
Laughing_Clowns	C	25465	688458980	FA	4.23490468986027
Lily_Collins	C	20595	717813673	C	2.36019788753733
MC_Lyte	C	15455	718442582	C	2.2268291201319936
Mani_Martin	C	5099	692594575	C	2.109150173113233
Matchbox_Twenty	C	25696	717109931	C	2.486168502584325
Max_Tundra	C	10804	705639284	C	2.6777058753276797
Melvins	C	33998	719138889	C	2.512417668104712
Mily_Balakirev	C	50446	706895515	FA	4.843606581786418
Naomi_Wenitong	C	12072	718904906	GA	2.910243753786986
Nipsey_Hussle	C	23872	719191186	GA	3.647518114683571
